Start_City	End_City	Start_Time	Arrive_Time	Cost
A		B		0		2		100
A		B		4		6		100
A		B		12		14		100
A		B		15		17		100
A		B		20		22		100
A		F		1		8		400
A		F		2		9		400
A		F		5		12		400
A		F		10		17		400
B		C		5		10		240
B		C		15		20		240
B		C		17		22		240
B		D		2		4		80
B		D		4		6		80
B		D		9		11		80
B		D		13		15		80
B		D		14		16		80
B		D		18		20		80
B		D		21		23		80
B		E		3		6		180
B		E		5		8		180
B		E		10		13		180
B		E		14		17		180
B		E		17		20		180
C		F		2		6		230
C		F		4		8		230
C		F		10		14		230
C		F		12		16		230
C		F		15		19		230
D		G		3		6		90
D		G		5		8		90
D		G		6		11		90
D		G		12		15		90
D		G		15		18		90
D		G		18		21		90
D		H		4		7		150
D		H		5		8		150
D		H		8		11		150
D		H		10		13		150
D		H		11		14		150
D		H		14		17		150
D		H		15		18		150
D		H		17		20		150
D		I		3		12		500
D		I		6		15		500
D		I		10		19		500
E		G		2		7		210
E		G		6		11		210
E		G		9		14		210
E		G		14		19		210
F		G		6		9		120
F		G		9		12		120
F		G		15		18		120
G		H		4		5		30
G		H		6		7		30
G		H		10		11		30
G		H		14		15		30
G		H		19		20		30
G		I		2		10		330
G		I		5		13		330
G		I		9		17		330
G		I		14		22		330
G		J		4		18		650
G		J		6		20		650
